bibtex_key;title;author;journal;year;source;pages;volume;abstract;keywords;descargado;doi;url;affiliation;author_keywords;;publisher;issn;language;note;selection_criteria;created_at;updated_at;created_by;updated_by;status;comments
vith_envisioning_2019;Envisioning the ‘Sharing City’: Governance Strategies for the Sharing Economy;Vith, Sebastian and Oberg, Achim and Höllerer, Markus A. and Meyer, Renate E.;J Bus Ethics;2019;;1023--1046;159;Recent developments around the sharing economy bring to the fore questions of governability and broader societal benefit—and subsequently the need to explore effective means of public governance, from nurturing, on the one hand, to restriction, on the other. As sharing is a predominately urban phenomenon in modern societies, cities around the globe have become both locus of action and central actor in the debates over the nature and organization of the sharing economy. However, cities vary substantially in the interpretation of potential opportunities and challenges, as well as in their governance responses. Building on a qualitative comparative analysis of 16 leading global cities, our findings reveal four framings of the sharing economy: ‘societal endangerment,’ ‘societal enhancement,’ ‘market disruption,’ and ‘ecological transition.’ Such framings go hand in hand with patterned governance responses: although there is considerable heterogeneity in the combination of public governance strategies, we find specific configurations of framings and public governance strategies. Our work reflects the political and ethical debates on various economic, social, and moral issues related to the sharing economy, and contrib-utes to a better understanding of the field-level institutional arrangements—a prerequisite for examining moral behavior of sharing economy organizations;Sharing economy · Public governance · Urban governance · Global cities · Governance strategies · Fuzzy-set qualitative comparative analysis (f-s QCA;SI;10.1007/s10551-019-04242-4;http://link.springer.com/10.1007/s10551-019-04242-4;;;;;0167-4544, 1573-0697;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
steinfuhrer_flexibleinflexible_2009;Flexible–inflexible: socio-demographic, spatial and temporaldimensions of flat sharing in Leipzig (Germany);Steinführer, Annett and Haase, Annegret;GeoJournal;2009;;567--587;74;Flat  sharers  are  one  of  the  most  distinctrepresentatives of the ‘new’ household types, but havereceived only very limited attention from researchers.Back in the 1960s shared flats were usually foundedwith a strong ideological impetus, whereas flat sharingnowadays  is  just  one  household  type  among  manyothers. Typically, this housing arrangement consists ofat least two young adult individuals without children.Sharing the flat and the housing costs is the basis oftheir relationship but living with others is an additionalmotive.  As  a  rule,  flat  sharing  bridges  two  distinctevents in the course of one’s life: the leaving of theparental home and the foundation of the first indepen-dent household. Thus for a restricted period in time, itis a flexible household type adapted to the situationalneeds   of   its   members.   Germany   has   one   of   thestrongest  and  longest  traditions  of  flat  sharing  inEurope,  especially  among  university  students.  Anexplorative study was conducted in Leipzig to come toa deeper understanding of what flat sharing means inits ambivalence of being both an economic unit and asocial arrangement. Based on qualitative and quanti-tative  evidence  from  group  discussions  and  Internet;Flat sharing Housing New households Germany;SI;10.1007/s10708-008-9248-3;http://link.springer.com/10.1007/s10708-008-9248-3;;;;;0343-2521, 1572-9893;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
lee_supporting_2011;Supporting user participation design using a fuzzy analytic hierarchy process approach;Lee, Ji-Hyun and Li, Tian-Chiu;Engineering Applications of Artificial Intelligence;2011;;850--865;24;"There are three fundamental problems that may occur in the process of user participation design: first,the participants/users may not be able to express their requirements clearly; second, they have littleknowledge about design; and third, they are generally unfamiliar with the software that designers use.Based on this understanding, a method that considers design rationale is proposed in this work tosupport the process of user participation design. In addressing the user participation process, a fuzzyanalytic hierarchy process (AHP) approach is applied to grasp people’s ideas, in the initial design phase.A case study on creating house layout design is employed to illustrate the proposed approach. In thisregard, to help participants/users create layout designs, it is proposed that a 3D generative system isused, which integrates navigational concepts, direct manipulation, and the design rationale theory. In anutshell, this research proposes a system to implement a design rational model and improve designcommunication in the user participation process. To demonstrate the effectiveness of the proposedprototype system, a user test is performed and we put forward some findings and research questionsfor further research and industry practices.";Fuzzy queryAHPMass personalizationUser participationDesign rationaleDirect manipulation;SI;10.1016/j.engappai.2011.01.008;https://linkinghub.elsevier.com/retrieve/pii/S0952197611000182;;;;;09521976;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
han_home_2017;Home sales index prediction model based on cluster and principal component statistical approaches in a big data analytic concept;Han, Seungwoo and Ko, Yongho and Kim, Seongdo and Shin, Do Hyoung;KSCE J Civ Eng;2017;;67--75;21;Data analysis has become one of the most important tools in various fields of engineering. HSI (Home Sales Index) has beenconsidered one of the most crucial factors for predicting the economic trends in the construction industry. While a precise predictionof a HSI is very significant, it is limited due to the difficulty in collecting valuable information and analyzing that informationproperly.  The  several  conducted  studies  related  to  a  similar  subject  have  mostly  approached  to  the  time  series  analysis  withassumption that the HSI has been influenced with the past patterns such as seasons and historic issues. This paper mainly focused onthe objective of presenting the performance of a new HSI prediction model using a big data analysis method focusing on socialfactors in high correlations in HSI without any those assumptions. In accordance with this research objective, this paper suggests adefinite methodology for analyzing data and developing a related prediction model using cluster and principal component statisticalapproached focusing on comprehensive search queries on the Web. The significant results derived from the model applied to HSIprediction can be used as the initial phase of a big data analysis in the construction field in both academia and industry;big data, home sales index, cluster analysis, principal component analysis, search queries;SI;10.1007/s12205-016-0574-6;http://link.springer.com/10.1007/s12205-016-0574-6;;;;;1226-7988, 1976-3808;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
yuan_amenity_2020;Amenity effects of urban facilities on housing prices in China: Accessibility, scarcity, and urban spaces;Yuan, Feng and Wei, Yehua Dennis and Wu, Jiawei;Cities;2020;;102433;96;Housing values are heavily influenced by urban facilities. However, the amenity effects of urban facilities havenot been fully assessed, and their spatial heterogeneity has largely been neglected. Taking Nanjing as an ex-ample, this study adopts a synthetic approach that considers scarcity, accessibility, and submarkets, and high-lights the influence of the idiosyncratic characteristics of urban facilities and heterogeneous urban spaces onhousing prices. We divide urban facilities into two categories based on scarcity: irreplaceable and replaceablefacilities. Wefind that the influence of urban facilities differs among different categories and submarkets, and theinfluence of irreplaceable facilities is highly dependent on accessibility in all submarkets, while that of re-placeable facilities relies on both the accessibility and scarcity of those facilities. This study contributes to ourunderstanding of the importance of and differences among the effects of various public facilities on propertyvalues in the intra-urban environment.;Housing price Amenity Urban facility Accessibility Submarket;SI;10.1016/j.cities.2019.102433;https://linkinghub.elsevier.com/retrieve/pii/S0264275118304700;;;;;02642751;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
cockx_determining_2020;Determining heterogeneity of residential location preferences of households in Belgium;Cockx, Kasper and Canters, Frank;Applied Geography;2020;;102271;124;Residential location choice behaviour is  a  key component of  the complex and dynamic human-environment interactions driving changes in  the urban landscape. The residential location choices that households make depend on their socio-economic characteristics, attitudes and life cycle stage as well as the location’s properties. The objective of this research was to analyse residential location preferences for different types of households in Belgium by developing a residential location choice model based on the use of regression trees. For each pref-erence group, a discrete choice model was estimated identifying the main factors influencing residential location choices, and how these differ depending on household characteristics. The data-driven approach proposed in this paper enables a transparent interpretation of the main household characteristics explaining differences in resi-dential location choice behaviour, and of  the varying effect of  location characteristics on residential location choice. Results obtained with the model show that tenure status, education level, nationality and household type successfully discriminate heterogeneous residential location preference profiles in Belgium. Model variables for each preference group demonstrate that not only socio-economic characteristics of the resident population, but also housing price and job accessibility differentially affect a  location’s  attractivity for different household profiles. ;Residential location choice Preference heterogeneity Households Discrete choice modeling Segmentation;SI;10.1016/j.apgeog.2020.102271;https://linkinghub.elsevier.com/retrieve/pii/S0143622819301298;;;;;01436228;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
chea_residential_2019;Residential segregation in hillside areas of Seoul, South Korea: A novel approach of geomorphons classification;Chea, Heewon and Sharma, Madhuri;Applied Geography;2019;;9--21;108;This research examines residential segregation in the hillside residential areas (HRAs) of Seoul, South Korea, byapplying a newly classified geomorphons–a synthetic land classification system–created from 30 × 30 m2resolution digital elevation model data to redefine Seoul's hillside residential areas. The multi-group EntropyIndex explores segregation within and among the dimensions of socio-economic and built-environment char-acteristics in HRAs and non-HRAs. We apply the Local Indicator of Spatial Association to confirm strong spatialautocorrelation, and the clusters and outliers within the HRAs. This is rectified by the Spatial Error (regression)Model which affirms that the residential communities are most strongly segregated along dimensions ofhousehold composition, housing-built year, and educational attainments, and have significant relationship withthe economic status of HRA residents. The newly classified geomorphons also suggest that segregation along thedimensions of socio-economic and built-environment characteristics are higher in HRAs compared to the non-HRAs;Geomorphons Hillside residential areas Entropy index Local indicator of spatial association Spatial error model;SI;10.1016/j.apgeog.2019.04.009;https://linkinghub.elsevier.com/retrieve/pii/S0143622818312517;;;;;01436228;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
hwang_using_2007;Using fuzzy clustering methods for delineating urban housing submarkets;Hwang, Sungsoon and Thill, Jean-Claude;;2007;;1;;This  study  investigates  whether  a  fuzzy  clustering  method  is  of any  practical  value  in  delineating  urban  housing  submarkets relative  to  clustering  methods  based  on  classic  (or  crisp)  set theory. A fuzzy c-means algorithm is applied to obtain fuzzy set membership  degree  of  census  tracts  to  housing  submarkets defined within a metropolitan area. Issues of choosing algorithm parameters   are   discussed   on   the   basis   of   applying   fuzzy clustering  to  85  metropolitan  areas  in  the  U.S.  The  comparison between   results   of   fuzzy   clustering   and   those   of   crisp   set counterpart  shows  that  fuzzy  clustering  yields  statistically  more desirable clusters.;Fuzzy clustering, Data mining, Housing submarket, GIS;SI;10.1145/1341012.1341031;http://portal.acm.org/citation.cfm?doid=1341012.1341031;;;;ACM Press;;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
kryvobokov_hedonic_2013;Hedonic price model: defining neighbourhoods with Thiessen polygons;Kryvobokov, Marko;Int J of Hous Markts and Analy;2013;;79--97;6;Purpose– The purpose of the paper is to verify whether the version of neighbourhoods created fromthe  lowest  geographical  level  improve  a  predictive  accuracy  of  hedonic  model  in  comparison  withthose based on upper geographical levels.Design/methodology/approach– The  paper  proposes  a  method  for  defining  neighbourhoodsusing Thiessen polygons. The clustering technique is based on fuzzy equality. Clustering is started atdifferent geographical levels: municipalities, traffic analysis zones, and apartment blocks’ Thiessenpolygons. Delineated neighbourhoods  are incorporated  into hedonic model of apartment prices, theapplied methodologies are ordinary least squares and spatial error.Findings– With  ordinary  least  squares  regression,  the  slight superiority  of Thiessen  polygons  isfound in both in-sample analysis and ex-sample prediction. With spatial error technique, the clusters ofThiessen polygons do not always provide the best outcome, and their superiority is contested by thehighest geographical level of municipalities.Research limitations/implications– This  paper  is  the  first  attempt  to  apply  the  proposedmethod,   which   not   always   demonstrates   clear   superiority.   In   future   study,   the   method   ofneighbourhood delineation could be used in combination with market segmentation.Practical implications– The  proposal  to  use  Thiessen  polygons  as  a  transition  from  points  tocontinuous space can outline a base for the use of different clustering techniques, which are applicableto delineate neighbourhoods in housing market studies, in particular for the assessment purpose. Thefuzzy equality clustering algorithm itself can be applied to polygonal data.Originality/value– The  originality  of  the  proposed  method  is  that  it  defines  neighbourhoodsstarting  from  individual  observations  applying  fuzzy  equality.  Its  advantages  are  an  increasedindependence from existing boundaries, self-determination of a number of clusters, and total coverageof an area.;Neighbourhood, Thiessen polygon, Clustering, Hedonic model, Out-of-sample prediction,Housing, Pricing;SI;10.1108/17538271311306039;https://www.emerald.com/insight/content/doi/10.1108/17538271311306039/full/html;;;;;1753-8270;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
galan-paez_extracting_2015;Extracting emergent knowledge about the socioeconomic urban contexts;Galán-Páez, Juan and Borrego-Díaz, Joaquín and de Miguel-Rodríguez, Jaime;;2015;;1571--1574;;An approach to represent and analyze socioeconomiccontexts as well as to reason with them, in order toextract useful conclusions about the social perceptionemerging from citizens’ beliefs and feelings, is introduced.We concentrate here in the formal aspects of the solution,completing this way our work ;Emergent Semantics, Socioeconomic Contexts;SI;10.1145/2800835.2801639;http://dl.acm.org/citation.cfm?doid=2800835.2801639;;;;ACM Press;;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
bhatnagar_comparative_2018;Comparative Performance Evaluation of Clustering Algorithmsfor Grouping Manufacturing Firms;Bhatnagar, Vikas and Majhi, Ritanjali and Jena, Pradyot Ranjan;Arab J Sci Eng;2018;;4071--4083;43;Surviving and remaining profitable in market isthe biggest requirement for any enterprise in today’s businessenvironment because of the stiff competition. Being innova-tive and staying updated with the latest and trending changeshappening in the sector is the key for firms to leave theirimpression as successful and profit building business house.However, it is not necessary that all the firms should followsame pattern of structure or production procedure even ifthey come under the same cap of industry but at some pointof time up gradation is needed. Appropriate grouping of var-ious manufacturing firms plays a vital role in assessing theircredentials. Data relating to appropriate attributes of threetypes of manufacturing firms are collected. By employingfive different clustering techniques each type of these firmsare grouped and rank of each method and for each categoryof industry is evaluated and presented. Results obtained fromanalysis demonstrate that the overall ranking based on clusterpotentiality of different methods is ordered as Self OrganizedMaps, Gaussian Mixture Model, Fuzzy C-Means, K-Meansand Hierarchical techniques. Finding of this study can helpthe decision makers to devise appropriate strategy for theirproduction pattern according to the firm capability.;K-Means·Hierarchical·Fuzzy C-Means·Gaussian Mixture Modeling (GMM)·Self Organized Maps(SOM)·Cluster evaluation·Cluster ranking;SI;10.1007/s13369-017-2788-4;http://link.springer.com/10.1007/s13369-017-2788-4;;;;;2193-567X, 2191-4281;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
guo_operationalizing_2007;Operationalizing the concept of neighborhood: Application to residential location choice analysis;Guo, Jessica Y. and Bhat, Chandra R.;Journal of Transport Geography;2007;;31--45;15;In this paper, we explore different conceptualizations to represent neighborhoods in residential location choice models, and describethree alternative ways for constructing operational units to represent neighborhoods. In particular, we examine the possibility of usingthe census units to represent the hierarchical ‘fixed neighborhood’ definition, and the circular units and network bands to represent thehierarchical ‘sliding neighborhood’ definition. Overall, the network band definition is conceptually appealing. It also is marginally supe-rior to the other two operational representations from a model fit standpoint.;"Neighborhood; Spatial definition; Residential location choice; Modifiable areal unit problem";SI;10.1016/j.jtrangeo.2005.11.001;https://linkinghub.elsevier.com/retrieve/pii/S096669230500089X;;;;;09666923;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
grekousis_modeling_2013;Modeling urban evolution using neural networks, fuzzy logic and GIS: The caseof the Athens metropolitan area;Grekousis, George and Manetos, Panos and Photis, Yorgos N.;Cities;2013;;193--203;30;This paper presents an artificial intelligence approach integrated with geographical information systems(GISs) for modeling urban evolution. Fuzzy logic and neural networks are used to provide a syntheticspatiotemporal methodology for the analysis, prediction and interpretation of urban growth. The pro-posed urban model takes into account the changes over time in population and building use patterns.A GIS is used for handling the spatial and temporal data, performing contingency analysis and mappingthe results. Spatial entities with similar characteristics are grouped together in clusters by the use of afuzzy c-means algorithm. Each cluster represents a specific level of urban growth and development. Atwo-layer feed-forward multilayer perceptron artificial neural network is then used to predict urbangrowth. The model, applied to the prefecture of Attica, Greece, delineates the current and future evolutiontrends of the Athens metropolitan area, which are illustrated by maps of the urban growth dynamics. Theproposed methodology aims to assist planners and decision makers in gaining insight into the transitionfrom rural to urban.;Urban growth Fuzzy clustering Neural networks Athens metropolitan area;SI;10.1016/j.cities.2012.03.006;https://linkinghub.elsevier.com/retrieve/pii/S0264275112000583;;;;;02642751;en;;;44376,19269;44376,19269;Emaxlibre7;;Accepted;
